writer,time,text
geon.hyung,7시간,"주말 5대 한정 699,000

#로봇청소기
#일렉트로룩스
#한정수량판매
#초특가세일
#가격실화냐😱
연락은 문자만 받습니다~~~"
yeonjeong0019,7시간,"엣지님을 집에 모셨다ㅜㅜ 생각보다 더 만족중ㅜㅜ
똑똑하진 않지만 열심히 일하는 엣지님
고장나지 말고 함께 삽시다
엘지 로봇킹과 함께 우리집을 청소중이심
#에브리봇엣지#에브리봇#로봇청소기"
iam_mychan,7시간,"****
1년 전부터 후기가 없어서 살까말까 .
고민했던 #창문로봇청소기 인데.
왜 인제 샀을까?
완전 편하고 깨끗해짐.
대륙의 가성비는 진짜 장난 아니네.
.
.
#마이찬_마이민_여행
#마이찬_마이민_일상
#마이찬_마이민_데일리
#마이찬_마이민_데이트
#로봇청소기
#로봇창문청소기"
seotaewon_soi,7시간,"#로보락
#s6 max
#반갑다
#로봇청소기
#신문물 접하는 촌순이
#잘 부탁해~ 로보야~
#이거 올리면 일회용 물걸레 청소포 준다고 함 ㅎㅎ"
jhee0904,7시간,"우여곡절 끝에 드디어 구입 😅

#에브리봇#에브리봇엣지#물걸레청소기
#청소기#로봇청소기#청소기추천#강추
#좋긴좋다#청소가쉬워졌어요#열일중🔥"
yumyum.owo,7시간,"⠀
⠀
이모님 어서오세요😆
코스트코 갔다가
후기검색해보고 바로사옴 ㅋㅋ
진짜 너무좋당❤ ㅋㅋㅋㅋㅋㅋㅋㅋ
다이슨이랑 찰떡이라니 왜 진작 몰랐을까
역시 청소는 장비빨!! ㅋㅋㅋ
우리집 이제 매일 걸레질로 더 깨끗해질꺼야!!
⠀
이모님 조용히 걸레질중인거 찍을라그랫는데
남편 오버워치소리땜에 망했엉😑
⠀
#브라바 #브라바이모님 #브라바청소기 #브라바물걸레청소기 #브라바380t #아이로봇 #로봇청소기 #물걸레로봇청소기 #집스타그램 #신혼스타그램 #청소스타그램 #청소필수템 #신혼부부필수템 #집들이선물추천 ⠀"
mung_munggu,7시간,"#오늘의멍구 #크림포메 #포메라니안 #멍스타그램 #펫스타그램 #겁없음 #로봇청소기 #샤오미로봇청소기 #좋아함

오늘의멍구
멍구 외출 안할때 처음 돌려본 로봇청소기
처음엔 짖어서 진짜 큰일이다 했는데 갑자기 조용…
뭐지?하고 오빠가 가서 찍은 영상
진짜…특이한개다 얘는…
마지막 프레임 아웃이 완벽하네

#댕청댕청 #외모에속지마세요 #세상앙칼짐 #개엄마 #개엄마일상 #개맘 #멍멍구 #멍구마미 #알다가도모를 #강아지의마음 #강아지 #개린이 #그림좀아는강아지 #그와중에겁나중심잘잡기 #얘뭐지도대체"
latte_0314,8시간,"골든리트리버는 털이 잘 빠지는 종이다
전에 키울때 고생했던 경험이 있어서 😅

공기청정기와 로봇 청소기를 고민중
아무래도 로봇 청소기가 좋을것 같아 동생이 구입

로봇청소기 신기하고 무서운건지 저렇게 보다가
자신쪽으로 오면 보다가 후다닥 도망을 다닌다 21-MAY-2020

#골든리트리버 #골댕이 #로봇청소기"
ojbong,8시간,"#어깨인대염증

오늘은
#든든한병원

어제수영갈껄
오늘은 가지말래서.. 주말푹쉬고
월요일 열수영하는걸로

아픈어깨덕분에
아들이 청소기돌려주는중 🤗

오늘은 #로봇청소기 쉬고
#아들청소기

#쉼 #쉬어야하는데 .."
eapoe81,8시간,시시각각 다가오는 공포의... #냥스타그램 #키키 #로봇청소기 #로보락s6
ssbasketss,8시간,"아이 씬낰ㅋㅋㅋㅋ
#로봇청소기 #roborock #roborocks5max #샤오미"
yoyo.415,9시간,"요요하우스 신문물 등장에 겁먹을까봐 친해지라고 트릿을 올려뒀는데 애들은 머뭇거리고 원요요 혼자 🐷🐷🐷 트릿 다 먹고 자꾸 생기는줄 알고 따라댕긴다🐈💨
.
.
#요요하우스 #신문물 #물주님감사해요 #요요큰엄마 #로봇청소기 #귀염둥이 #트릿쟁이 #친해지길바라🙏 #쫄탱이들 #귀여워쥬금 #텔레토비청소기같은존재"
jecrollkorea,10시간,"⠀
#제크롤 #JECROLL #제이봇 #JK950
제이봇JK-950은
BLDC모터가 탑재되어 있어
1500pa 초강력 흡입과 일반 모터에 비해
소음이 매우 적고 내구성이 매우 높습니다.
.
또한 LG 정품 배터리를 사용해
2600mA 리튬이온배터리로
전력의 손실을 최소화하여
안정적인 출력을 보장합니다.
.
https://smartstore.naver.com/sjmall/products/4798772976
.
#독일브랜드 #로봇청소기 #스마트로봇청소기 #물걸레로봇청소기 #역대급로봇청소기 #제이봇 #득템 #효자템 #세중통상 #신혼템 #청소기 #청소기추천 #물걸레청소기 #물걸레청소기추천 #로봇청소기추천 #스마트로봇청소기추천"
minji_dy,10시간,"청소이모님 영입
여보
너무너무너무너무
고마워👍
#로봇청소기 #로보락 #남편쵝오 #이럴때만 #그래도쵝오 #너무좋아서 자랑질 #담에도부탁해요 #행복한데졸린오후"
jeongah_sin,10시간,".
#로봇청소기
쓸데없이 깔끔한성격 덕에 청소하다 병날듯ㅡㅡ
드뎌 장만한 #청소도우미
애들이 아직 어린탓에 중저가로 구매했는데...
어제 하루 써본 결과 생각보다 쓸만하다~
청소기 안돌려도 될듯ㅋ
.
.
#남편보다잘함
#살림은장비빨
#이제식기세척기만남은건가

#코로나바이러스#코로나일상#기록#일상#데일리#인스타데일리#instadaily#소통#육아소통#공감#육아공감#육아맘#남매맘#남매#7살#아들#5살#딸"
ohyoungme,10시간,"우리집 새식구 뽀록이...❤️
청소 열심히 하는게 아주 귀엽다..
.
#육아템 #살림템 #이모님 #이모님최고 #청소 #로봇청소기 #일상 #일상스타그램 #육아스타그램 #육아"
yeyemom_09,10시간,"청소가 제일 쉬웠어요~~~😆😆
_
_
안녕하세요~ 벌써 5월 마지말 금요일이네요
_
이제 아이들 개학도 하고
그동안 집안의 묵은때!!!😱 저랑같이 청소해요😄
_
_
이 신박한 살림템으로 말하자면
스프레이 밀대 하나로 쓸고닦고 두가지가 가능하답니다😄
대박대박 대박사껀~~~~🤣
_
_
저희집은 여자셋이라 머리카락 말도 못하게 나뒹굴고
미세먼지, 예예자매의 어지름 행동으로 인해
엄청나게 지저분,,,😂하답니다~
_
_
예전 예예자매 어질러놓은 피드 보셨죠?? 챙피하지만,,,
_
그래서 저는 수시로 청소를 해야하는데요
진공청소기, 물걸래청소기가 있지만
매번 꺼내서 하기가 넘 힘들고
우선 충전을 해야하니 불편,
어질러 놓은곳 치우자고 무거운 청소기 꺼내기는 귀찮,,,
그래서 부직포대걸레를 자주 이용하는데요
_
이번에 요아이는 물걸래질도 가능해서 첫눈에 뿅~~~😍반했지요
거기다 물분사가 얼마나 잘되는지
집에쓰던 진공물걸래청소기보다 훨 나아요~ㅎㅎ
_
_
제가 퇴근하고 집에가서 청소하면서 피드올려볼께요
그동안 청소가 신나서 출근전후로 했는데
사진을 못찍었지 뭡니까😂
_
_
이 신박한 살림템은 오늘부터 3일간만 진행합니다^^
프로필 링크로 오시면 가격, 상세설명 잔뜩 있어요~~
그래도 궁금해서 못참겠다면 친절한 예예맘에게
마구마구 물어봐주세요~
_
_
여러분께 이 편리한 도구를 정말 저렴하게 공유할수 있어 넘넘 기부니가 좋아요^^
_
단 700세트만 한정판매되니 서둘러주세요~~~💃🏻💃🏻
_
_
_
#신박한살림템 #예예맘의픽
#스프레이밀대 #정전기포는사랑입니다
#청소혁명 #살림템 #주부9단"
_kyungil_,10시간,"필수가전 3대장. 샤오미 S5 max.
내돈주고 내가 샀지만. 너무너무 만족스러운.
몸도 좀 사리기도 하지만. 어? 여기 안하고 왜 거기로?
라고 생각했지만. ""넌 계획이 다 있었구나??""
널 만나기까지의 설레임이란.
널 만난 후로 나의 청소인생이 달라졌어.
.
#샤오미 #로봇청소기 #필수가전3대장 #내돈내산"
sukkuong79,11시간,"쉬는날 청소후.....
여기서 더 채우지말자.... #쉬는날
#청소후
#미니멀 스타일
#나의 친구 #로봇청소기
#청소후 여유롭다"
rr_r_r_rr_r,11시간,"#일상

집에 와보니 도착해 있는 택배들🎁

저번에 보내준 커피 거의 다 마셨을 것 같다며
주문해준 커피와 고영희 털 소멸을 위한 로봇청소기
택배 상자는 역시 고영희 차지🤣

잘 먹고 잘 쓰겠습니다❤
-
-
#내남친#최고#남자친구선물#콜드브루#홈카페#커피#럽스타그램#로봇청소기#고영희#먼치킨#노르웨이숲#데일리#daily#coffee"
lovelyflower_sh2,11시간,"치후360 s9
나의 삶에 윤택함을 주는구나~
ㆍ
ㆍ
몇달을 살까?말까? 왜 고민했을까..
ㆍ
ㆍ
박박 닦아주진 않지만 청소에 물걸레질까지 너무 좋아ㅜㅜ 눈물이 난다ㅎㅎ
ㆍ
ㆍ
매일 구부리고 앉아 걸레질하던 서현이 안녕~~ㅋ
ㆍ
ㆍ
치후야 우리집을 부탁해~
잘지내 보자♡
ㆍ
ㆍ
선물해주신 함싸장님께 특별히 더 감사드려요♡
ㆍ
ㆍ
#너무좋아
#로봇청소기
#치후360s9
#양주맘
#신난다"
jian_life_,11시간,".
[샤오미 로봇청소기 2세대 고질병 해결]
.
1년정도 아주 잘 사용 중에 갑자기
오류 메세지가 뜨면서 작동이 되지
않음. 난 직구로 구매했기 때문에
AS는 어차피 사설에 맡겨야 했다.
열심히 검색해서 찾아 낸 해결책.
부품만 교체하면 된다는... .
1. 레이저 헤드에 관한 메세지가 오면서 작동불가.
2. ali라는 사이트에서 해당 부품 구매 -해외사이트지만 한국어번역으로 손쉽게 주문 성공
3. 주문 후 12일 후 부품 도착
.
(여기서부턴 조립)
.
4. 윗쪽을 아주 힘있게 '이러다 부숴지겠는데?'라는 생각이 들 정도로 확 잡아 뜯는다. (절대 부숴지지않음, 첨엔 나도 쫄았음)
5. 아랫판 고정 나사를 제거 후 탈거
6. 중앙 헤드 부분 나사 제거
7. 메인 부품 나사 제거 후 교체
8. 다시 조립
.
와~~~~작동된다👍👍👍✌️✌️
.
로봇청소기야 앞으로도 잘 부탁해😘.
.
.
#샤오미2세대
#샤오미2세대로봇청소기
#샤오미로봇청소기오류
#레이저헤드오류
#셀프수리
#샤오미as
#aliexpress
#직구
#어렵지않아요
#로봇청소기
#인생템
#청소끝판왕"
onlyyou_ehan,12시간,"20.5.29
.
.
.
.
.
.
.
남편의
서프라이즈 선물
점점 불러오는 배
깔끔병떠는 나보고
적당히하라고😅
#로봇청소기
오 신세계네👍
.
.
.
.
.
.
#물청소도되고 #나름구석구석 #보는내내신기방기 #세상참좋네 #열무야니가복덩이 #엄마요즘호사누리는중 #인친 #소통 #육아소통그램 #남양주맘 #다산맘 #치후360s9 #우리집을부탁해"
29cm.official,12시간,".
[ 라이프 주말 특가 | ~69% ]
이번 한 주 동안 많은 인기를 차지한 이슈 아이템!
주말 동안 반짝 특가로 만나보세요.
⠀
6/1까지 최대 69% OFF.
⠀
📍 29CM 쇼핑 시, 쿠폰을 적용해보세요.
| APP 첫 구매 고객 15% 쿠폰
| 모든 고객 5월 10% 쿠폰
* 일부 상품 쿠폰 사용 불가"
suhyejung,12시간,"다온이 등원 후 열일하는 오봇.
내 몸이 무거우니, 청소와 걸레질을 꼼꼼히 하거라

아직 정리되지 않은 곳은 금지 구역으로 설정해두어 편리하다. 기술의 발전이 매우 좋구나👍
.
.
.
#샤오미치후360s9 #로봇청소기 #오봇 #물걸레로봇청소기 #대륙의실수 #360청소로봇 #1일1청소 #열일하는오봇 #똑똑한로봇청소기 #살림은장비빨"
renkbeauty2018,13시간,"청소하기 귀찮아서 로봇청소기 구입😂
잘부탁해🙏
-

#로봇청소기 #제가한번써보겠습니다
#깔끔하게 #부탁해요로봇"
stellainhome,13시간,".
最近買って良かったものその①
******************【ロボット掃除機】
⭐床拭き機能付きなのに2万円台👀
.
.
我が家にもロボット掃除機が‼️
ずっと悩んで、比較して購入しましたが、大満足！
特にソファーの下やベッドの下など、
手が届かないところを
常にきれいにしてくれるのが良い❣️
しかも、この掃除機、なんと！
床拭き機能まで付いてるので、
常に綺麗な家をキープできます！ .
.
#賃貸インテリア #賃貸暮らし #緑のある暮らし
#マンション暮らし #インテリア #インテリア雑貨
#シンプルインテリア #3LDK #韓国好き#韓国好きな人と繋がりたい #韓国インテリア #ロボット掃除機
#신혼집인테리어 #신혼 #꽃 #꽃스타그램 #집스타그램 #집꾸미기 #일상 #일상스타그램 #샤이모 #로봇청소기
#iot #home #interiordesign #homesweethome #homestyling"
dasyuuul,14시간,"미리 받은 32살 생일선물
엄마가 사주시고 남친이 골라줌
#로봇청소기 #라이프로rx9
삶의 질 향상😆"
0486ena,1일,"작은오빠한테 이사 선물로 받은 로봇 청소기 ㅋㅋㅋ
효자네요 ㅎ

아들내미 등원 시키로 갈때 돌려놓고 나가면 집이 깨끗 ㅋㅋㅋ

꼭 우렁각시 있는것 같아요😊😊 밥해주는 로봇은 안나오나? ㅋㅋㅋㅋ

#아침스타그램 #굿모닝 #이사선물 #우렁각시 #효자네
#집안일 #니가해주라 #로봇청소기 #LG로보킹
#남매찬스 #감사해요"
thewedding_korea,1일,"내가 있는 공간을 청정지역으로 만들어 줄 위생가전

#위생가전 #공기청정기 #가습기 #쾌적한환경 #깨끗한공기 #살균제품 #음식물처리기 #습도조절 #바디드라이어 #침구청소기 #로봇청소기 #살균세척기 #신혼부부살림 #혼수준비 #웨딩잡지 #더웨딩잡지 #thewedding_korea"
mahatar_007,1일,"429days~ 왜 맘대로 안돼? 리모콘만 ㅋㅋ~청소와 움직이는거에 유독 관심이 많은 민재가 최고의 장난감을 찾았다~ 곧 망가질듯하다 ~잘가라~로봇청소기 ㅎㅎ~
#육아스타그램👶 #육아기록✏️ #로봇청소기"
junyongjoon,2일,어머님댁에 로봇청소기 한대 놓아드려야겠어요. #로봇청소기 #샤오미2세대 #냥스타그램 #행복한집쏠라우스
luv_j_j_h,2일,"_
우리집 #입주도우미이모님 아주 칭찬해👏🏻
한시간 넘게 구석구석 열일하시고
자기집으로 돌아가심
물걸레질도 아주 잘하셔
말도 잘하시고 ㅋㅋㅋㅋㅋㅋ😌

건조기가 나의 최애였는데
#로봇청소기 로 바뀜 #사랑이야
매일매일 청소해도 먼지가 저만큼!
#여보
#다음은식세기야 #찡긋"
min.min.kim,2일,떨어 질 듯 말 듯 #로보락 #로봇청소기 #쿰척쿰척
saran_zzang,2일,"아니 옴마 쟨 또 무어신고양😾⚡😾⚡😾⚡
.
.
#사란짱스타그램 #냥냥
#dailycat #catphoto #cat #catstagram #robot #robotvacuum #vacuumcleaner #catselfie #samsung #catfamily #wtf #데일리냥 #삼성로봇청소기 #싸이클론 #고양이 #고양이그램 #셀카 #고양이남매 #로봇청소기 #고양이가족 #고양이소통 #고양이맞팔 #심기불편 #고양이일상 #경계모드 #이게무슨일이야"
kikiya1004,2일,#키키야 #샤집사 #질렀음😁 #로봇청소기 #잘부탁해 #우리신랑잘도와줘🤣
arum_j.01,2일,"#이모님오심
애 볼 사람 없다며 델꼬 오셔서 #베이비어피치 #업고청소
열시미 돌아다니시고 알아서 #식사하러가심
.
.
.
#이모님 #청소이모님 #잘부탁드립니다 #바닥청소 #물청소도하심 #업고청소가능 #로봇청소기 #구역지정 #LDS센서 #테스트중 #청소테스트 #신혼가전 #다이나킹 #5월신상 #살림가전 #청소봇 #청소차 #바쁜요즘 #입주준비 #이사준비 #화이팅 #일상 #행복하자"
queen_esthetic01,2일,"열일 중인 로봇청소기 괜찮네~~ 세상이 넘 좋아져서 렌탈 안되는기 없는세상 정기적으로 관리 청소를 위해 렌탈 했지요.😁
생각보다 넘 똑똑하네
ㆍ
ㆍ
ㆍ
#로봇청소기 #렌탈서비스 #세상좋아졌다 #깔끔히잘해주심 #똑똑하네👍"
i_eum_atelier,2일,"우리집 두번째이모님
너~~~무좋다....
덕분에 신세계경험중
김스방보다 꼼꼼함
ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ

#다이나킹R9 #로봇청소기 #이모님 #신혼부부 #신혼가전 #혼수 #필수품
#똑똑해 #세상좋아졌다 #10개월아기 #황금돼지띠맘 #동탄2신도시 #아기랑 #독박육아 #직장맘 #도치맘 #세젤귀"
wellclean7,2일,"#로봇청소기 #Ecobot
#건물청소 #건물유지보수
#대형쇼핑몰청소 #공항로비청소
#청소장비판매
#웰크린청소장비"
jisu._.900221,2일,#로봇청소기 #개이득 #😎
jeanny__86,2일,"먼지흡입과 걸레질 동시에 되는 로봇청소기를 검색해보다가 아이클레보를 선택하게 됐네요~ 소음도 적고 만족스럽습니다😊 침대밑 책상밑까지 깨끗하게 청소해주니 더 좋구요 집안일에서 해방된것 같아요^^
#아이클레보 #유진로봇 #로봇청소기"
smart_battery2020,2일,"빨간불이 들어오면 주행이 안되는 증상으로 점검을 보내주셨습니다.
같은 증상으로 불편하신 분들은 언제든 연락주세요. 친절한 상담 도와드리겠습니다. 📞🙂1811-9976
.
.
.
#아이로봇브라바 #브라바물걸레 #아이로봇물걸레청소기 #물걸레청소로봇 #브라바마른걸레 #아이로봇마른걸레청소기 #마른걸레청소로봇 #아이로봇브라바380t #아이로봇브라바390t #브라바380t #브라바390t #브라바배터리 #아이로봇브라바배터리 #아이로봇청소기 #로봇청소기 #조용한청소기 #아이로봇브라바고장 #브라바고장수리 #브라바큐브고장 #아이로봇브라바AS #아이로봇브라바as성남 #브라바이모님 #청소이모님 #신혼가전 #가전필수품 #어머이건꼭사야되 #리빙테크 #주부들의필수품 #브라바직구제품 #아이로봇브라직구as"
dalgona_cat,2일,"#로봇 덤벼라!
빨리 일어나서 움직여! #싸우자 .
.
#왜그래 #너 #로봇청소기
#하지마 #stop #못살아 #에효💨
#그만괴롭혀라 #달고나 #고양이그램
#개냥이🐱 #개냥스타그램 #냥냥펀치🐾 #냥스타그램🐱🐾 #catstagram #catlover #친구환영
#맞팔 #친구 #선팔하면맞팔가요
#폴드 #오드아이고양이 @yunchae_cucu"
smart_battery2020,2일,"떨어트려 충격을 받은 뒤 정상작동이 되지 않는 증상으로 점검을 보내주셨습니다.
같은 증상으로 불편하신 분들은 언제든 연락주세요. 친절한 상담 도와드리겠습니다. 📞🙂1811-9976
.
.
.
#아이로봇브라바 #브라바물걸레 #아이로봇물걸레청소기 #물걸레청소로봇 #브라바마른걸레 #아이로봇마른걸레청소기 #마른걸레청소로봇 #아이로봇브라바380t #아이로봇브라바390t #브라바380t #브라바390t #브라바배터리 #아이로봇브라바배터리 #아이로봇청소기 #로봇청소기 #조용한청소기 #아이로봇브라바고장 #브라바고장수리 #브라바큐브고장 #아이로봇브라바AS #아이로봇브라바as성남 #브라바이모님 #청소이모님 #신혼가전 #가전필수품 #어머이건꼭사야되 #리빙테크 #주부들의필수품 #브라바직구제품 #아이로봇브라직구as"
bbonyomi,2일,"#로봇청소기 가 왔다
깜디 졸졸졸 계속 따라다님ㅋㅋㅋㅋ
언젠간 올라타겠지? 기대해본다☺️
-
-
-
#저뒤에_쫄냥이_김모카
#커엽
#코스트코로봇청소기#냥스타그램 #인스타냥#캣스타그램 #인스타캣#검은고양이 #깜털이들#페르시안친칠라 #고양이영상#cat#catstagram #instacat#meow#blackcat#persianchinchilla #gatonegro#黒猫"
maserati__daegu,2일,"로보트와 숨막히는 자존심대결
꺼내주면 빠지고 또 꺼내주면 빠지고..
이런걸 돈받고 파는...아... #로봇청소기
#바본가
#고마해라
#기술의진보
#도와줬잖아"
rx999_hy,2일,"#라이프로 #로봇청소기
로봇 청소기 너무너무 간편하고 좋습니다!!"
__ring__89,2일,".
.
새 집청소를 도와줄
이모님 도착♡
이사전까지 푹 쉬고계시옵소서

국내기업이라 AS보장되고 샤오미7세대 센서사용한다하네요
물걸레질따로 흡입청소따로해서 똥내안난다하길래 선택한 트윈보스🤗
잘부탁한다요🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️
.
.
#엠지텍로봇청소기 #트윈보스 #로봇청소기 #빨리사용하고싶다 #잘부탁드립니다🙏🏼
#신혼부부 #신혼집인테리어 #이사준비 #이사선물 #가성비갑 #곧사용후기올릴게요🤗"
eee6828,2일,"가사도우미 3대이모님(의류건조기, 식기세척기, 로봇청소기)중 오늘 마지막으로 로봇이모님을 모셨다!!! 우리집 금단구역(아이들 침대방 슈퍼싱글 2개 연결한 침대밑)에서 열일중.
칭찬해♡

#로봇청소기#라이프로 #RX9PLUS #물걸레청소기 #가성비로봇청소기 #AI청소기 #내돈내산 #주급모아삼#유사나용돈#효자로봇 #진작살껄
#더러워서_경찰온줄#경광등#번쩍번쩍#인아트#앤디s침대#인코스엠#원목프레임#슈퍼싱글"
baelys_kitchen,2일,"#귀요미 #티스푼 #다이소득템
끝난게 아니었어.. 식탁을 끝으로 배송올거는 다온듯.. 근데 아직 사고싶은거 많은데 .. #로봇청소기 #로봇물걸레청소기 #식세기 ..ㅎㅎㅎ"
ehchoi0517,2일,"ᆞ
ᆞ
우남편과 물회 한그릇 하고 커피한잔.

밖에 나와서도 집에 있는
오매불망 청소 이모님 생각뿐인 분ㅋ

앱으로 충전은 다 되셨는지
지금쯤 청소하시면 되는지 얼만큼
청소 하셨는지 수시로 체크ㅡ.ㅡ

재택근무 하면서 청소 좀 부탁했더니
로봇청소기 주문하시고
재작년쯤 빨래 너는거 좀 부탁했더니
당신 이렇게 고생 못 시킨다며 건조기 사고🙄

라떼는 말이야~
구김 안가게 빨래는 탈탈 털어 널고
구석구석 청소기 밀고 다니다
선 짧으면 빼서 다시 다른 곳에
꽂고 청소하고 했단 말이야~
라떼는 말이야~

요즘 신입은 너무 편하게 거저 먹네 그려~

#우리집살림신입 #우남편 #살림계의얼리어답터
#라떼는말이야 #일장연설
#그러거나말거나 #청소이모님삼매경
#로봇청소기 #식세기에이은 #신세계"
jae8486,2일,"시간이없댜
빨리빨리 만날사람 만나고
놀아야지👊
.
.
.
#일상 #소통 #일상스타그램
#황금돼지띠아기 #아들 #아들맘
#에브리봇 #로봇청소기 #우리집
#이모님 #복싱 #신종훈 #동대구역
#구미 #촌놈 #잘해보자"
pandazzang,2일,"_

요 며칠
계속 미세먼지 나쁘거나
비와서 창문도 잠깐밖에 못 열었는데
간만에 하루종일 활짝 열어둘 수 있어서
너무 좋다 😌"
danborocats,2일,"😻😻😻로봇청소기 아직도 익숙하지 않은 단팥이😹 이제 한 1미터까지 가까이 가더군요😻😹 곧 타고 놀 수 있으려나..
#고양이 #냥스타그램 #빼꼼 #단팥 #애옹이 #야옹이 #귀요미 #애교쟁이 #믹스묘 #스코티쉬폴드 #로봇청소기 #쫄았음 #😹😹😹 #좋반 #cat #meowster #meowstagram #mixcat #meowyday #scottishfold #meowmy #instacat #instacutie #minipanther #blackcat #browncat #katzen #gatos"
wish7986,2일,"#나를위한선물#이모님3종세트 중 하나
#로봇청소기#에브리봇3i#왜이제샀지#신세계임👍 물자국은 첨에는 생기지만 시간지나면 괜차늠ㅎ"
